iter	Logloss
0	0.6797398026
1	0.6709561223
2	0.6662560872
3	0.6602022387
4	0.6544789124
5	0.6493390008
6	0.6466102359
7	0.6413509728
8	0.6379270837
9	0.6331023404
10	0.6291305601
11	0.625495646
12	0.6222497859
13	0.6188300399
14	0.6162007688
15	0.614030859
16	0.6102363071
17	0.6077313792
18	0.6055841309
19	0.6036817367
20	0.6011788362
21	0.5986059912
22	0.5965395244
23	0.594761455
24	0.5935648121
25	0.5914741146
26	0.5890229769
27	0.5878489163
28	0.5857179216
29	0.5836840052
30	0.5815192178
31	0.5796658181
32	0.5777018828
33	0.5766332365
34	0.575144517
35	0.5737352853
36	0.571909061
37	0.5697651471
38	0.5684927694
39	0.5669412758
40	0.5660671508
41	0.5642830781
42	0.5626524351
43	0.5609020712
44	0.5590844651
45	0.5575759939
46	0.5561441139
47	0.5550754899
48	0.5534206355
49	0.5518749326
50	0.5503838629
51	0.549383137
52	0.5480803083
53	0.5467689597
54	0.5453787361
55	0.5443626457
56	0.5426523225
57	0.5416963019
58	0.5407815687
59	0.5393218521
60	0.5378782425
61	0.5366468546
62	0.535316862
63	0.5341755786
64	0.5327717351
65	0.5311827047
66	0.5300059254
67	0.5286347517
68	0.5272145094
69	0.5259850507
70	0.5247937454
71	0.5241264265
72	0.5229173891
73	0.5213431719
74	0.5202193563
75	0.5190890581
76	0.5179377718
77	0.516483735
78	0.5145610432
79	0.5137204881
80	0.5130018488
81	0.5115096734
82	0.5105552794
83	0.5099905892
84	0.5088534252
85	0.5080349584
86	0.5066919022
87	0.5056795179
88	0.5046112274
89	0.5040284544
90	0.5027973799
91	0.5017144818
92	0.5006889824
93	0.4993988337
94	0.4982876581
95	0.4979505482
96	0.4971466955
97	0.4962195858
98	0.4954964048
99	0.4946146763
100	0.4936333469
101	0.4925800157
102	0.4916473356
103	0.4910181425
104	0.4904991722
105	0.489992227
106	0.4887456685
107	0.4877478477
108	0.4868071848
109	0.4860392764
110	0.4854725881
111	0.4843234011
112	0.4836048988
113	0.4826817708
114	0.4819208393
115	0.4809360344
116	0.4799293009
117	0.4794613187
118	0.4785934206
119	0.4777057235
120	0.4767208915
121	0.4760478942
122	0.4752970416
123	0.4746545847
124	0.4739961595
125	0.4727274994
126	0.4722763908
127	0.4715974715
128	0.4710512764
129	0.4703192808
130	0.469931441
131	0.4695759643
132	0.4688642043
133	0.4679515401
134	0.4673310113
135	0.4668547222
136	0.4663067809
137	0.4652115787
138	0.4646618188
139	0.4641125322
140	0.4631579466
141	0.4623372684
142	0.4615101608
143	0.4606555614
144	0.4597815296
145	0.4588860971
146	0.458484494
147	0.4573162156
148	0.4566654811
149	0.4559579365
150	0.4557076454
151	0.4546445989
152	0.4540193923
153	0.4533440629
154	0.4527771385
155	0.4520216678
156	0.4512086155
157	0.4503488003
158	0.4497795253
159	0.4492037694
160	0.4489219412
161	0.4482914136
162	0.4474632917
163	0.446978303
164	0.4461643938
165	0.4454948314
166	0.4450856002
167	0.4445649333
168	0.4441583435
169	0.4433657709
170	0.4425729664
171	0.4418114125
172	0.4413201308
173	0.440780518
174	0.4400071154
175	0.439116231
176	0.4387058945
177	0.4384317381
178	0.4376205923
179	0.4371581746
180	0.4367091852
181	0.4363211835
182	0.4359563303
183	0.4353931005
184	0.4349994974
185	0.4343644862
186	0.4339771867
187	0.4331239569
188	0.4324259912
189	0.4316130659
190	0.4311324021
191	0.4304201275
192	0.4294815915
193	0.4289591288
194	0.4283204502
195	0.4277019901
196	0.4272288278
197	0.4265831524
198	0.4258013586
199	0.4252934948
200	0.4248677686
201	0.4243337017
202	0.423823389
203	0.4232650244
204	0.4228621202
205	0.4224615468
206	0.4217558492
207	0.421365775
208	0.4208375222
209	0.4203235249
210	0.4196184048
211	0.4189559341
212	0.4184529361
213	0.4180597135
214	0.4175226837
215	0.4172362307
